match_id,league,date,matchday,team_home,team_away,stadium,capacity,home_city,away_city,home_station,home_lat,home_lon,away_station,away_lat,away_lon
77557,bl1,2026-05-16T15:30:00,34. Spieltag,SC Freiburg,RB Leipzig,Europa-Park Stadion,34700,Freiburg,Leipzig,Freiburg Hauptbahnhof,47.9982505,7.8423399,Leipzig Hauptbahnhof,51.3465518,12.3830858
77558,bl1,2026-05-16T15:30:00,34. Spieltag,SV Werder Bremen,Borussia Dortmund,Weserstadion,42100,Bremen,Dortmund,Bremen Hauptbahnhof,53.0831456,8.8135421,Dortmund Hauptbahnhof,51.5169394,7.460503
77559,bl1,2026-05-16T15:30:00,34. Spieltag,Borussia Mönchengladbach,TSG Hoffenheim,Stadion im Borussia-Park,54042,Mönchengladbach,Sinsheim,Mönchengladbach Hauptbahnhof,51.1632203,6.4396694,Sinsheim Hauptbahnhof,49.2501683,8.8754995
77560,bl1,2026-05-16T15:30:00,34. Spieltag,1. FC Union Berlin,FC Augsburg,Stadion An der Alten Försterei,22012,Berlin,Augsburg,Berlin Hauptbahnhof,52.5249451,13.3696614,Augsburg Hauptbahnhof,48.365595,10.8863551
77561,bl1,2026-05-16T15:30:00,34. Spieltag,FC St. Pauli,VfL Wolfsburg,Millerntor-Stadion,29546,Hamburg,Wolfsburg,Hamburg Hauptbahnhof,53.5531993,10.0064364,Wolfsburg Hauptbahnhof,52.4291611,10.7878068
77562,bl1,2026-05-16T15:30:00,34. Spieltag,1. FC Heidenheim 1846,1. FSV Mainz 05,Voith-Arena,15000,Heidenheim,Mainz,Heidenheim (Zentrum),48.6767637,10.152923,Mainz Hauptbahnhof,50.001113,8.258723
77576,bl2,2025-08-01T20:30:00,1. Spieltag,FC Schalke 04,Hertha BSC,Veltins-Arena,62278,Gelsenkirchen,Berlin,Gelsenkirchen Hauptbahnhof,51.5047677,7.1022983,Berlin Hauptbahnhof,52.5249451,13.3696614
77577,bl2,2025-08-02T13:00:00,1. Spieltag,SV 07 Elversberg,1. FC Nürnberg,Ursapharm-Arena an der Kaiserlinde,9307,Spiesen-Elversberg,Nürnberg,Spiesen-Elversberg (Zentrum),49.3145046,7.1369778,Nürnberg Hauptbahnhof,49.4462031,11.0818654
77578,bl2,2025-08-02T13:00:00,1. Spieltag,SC Paderborn 07,Holstein Kiel,Home Deluxe Arena,15000,Paderborn,Kiel,Paderborn Hauptbahnhof,51.7128598,8.7404385,Kiel Hauptbahnhof,54.3134463,10.1310136
77580,bl2,2025-08-02T13:00:00,1. Spieltag,Karlsruher SC,Preußen Münster,BBBank Wildpark,33180,Karlsruhe,Münster,Karlsruhe Hauptbahnhof,48.9940078,8.4016492,Münster Hauptbahnhof,51.9564055,7.635792
