service_id,exception_type,date
501,1,20251125
501,1,20251126
501,1,20251127
501,1,20251128
501,1,20251208
501,1,20251209
507,2,20251125
51,2,20251129
510,2,20251123
511,1,20251109
511,1,20251130
512,1,20251127
512,1,20251128
515,1,20251109
515,2,20251204
516,2,20251129
519,1,20251110
519,1,20251111
519,1,20251112
519,1,20251120
519,1,20251121
519,1,20251122
52,2,20251123
520,1,20251118
520,1,20251203
522,2,20251123
523,1,20251117
524,2,20251114
524,2,20251115
524,2,20251116
525,1,20251130
527,1,20251128
527,1,20251205
527,2,20251113
527,2,20251115
527,2,20251116
527,2,20251117
527,2,20251118
527,2,20251201
527,2,20251202
528,1,20251109
53,1,20251123
53,2,20251129
530,2,20251116
531,1,20251127
531,1,20251208
532,1,20251122
532,1,20251129
532,2,20251116
535,1,20251203
537,2,20251114
538,2,20251113
538,2,20251114
538,2,20251116
538,2,20251117
538,2,20251118
538,2,20251130
538,2,20251201
538,2,20251202
538,2,20251203
54,2,20251121
54,2,20251122
54,2,20251123
540,1,20251122
541,1,20251109
541,1,20251122
541,1,20251203
541,1,20251205
543,1,20251202
546,1,20251129
547,1,20251119
549,1,20251117
552,2,20251128
553,1,20251125
553,2,20251128
554,1,20251112
554,1,20251126
554,2,20251117
554,2,20251121
554,2,20251123
554,2,20251204
554,2,20251207
556,1,20251110
556,1,20251120
556,1,20251121
557,1,20251109
562,2,20251112
562,2,20251201
563,1,20251128
563,1,20251208
563,1,20251209
564,1,20251109
564,1,20251128
564,1,20251129
565,1,20251124
565,1,20251125
565,1,20251126
565,1,20251127
565,1,20251208
565,1,20251209
566,1,20251111
566,1,20251201
568,1,20251128
568,1,20251129
568,1,20251130
569,2,20251126
570,1,20251111
570,1,20251112
570,1,20251128
571,1,20251110
571,1,20251124
571,1,20251125
572,1,20251123
574,1,20251205
574,1,20251208
574,1,20251209
577,1,20251126
577,1,20251127
577,1,20251208
577,2,20251202
578,2,20251129
578,2,20251130
578,2,20251201
578,2,20251202
578,2,20251203
578,2,20251204
579,2,20251129
58,1,20251121
58,1,20251205
58,1,20251206
58,1,20251208
58,1,20251209
580,2,20251203
580,2,20251204
580,2,20251205
580,2,20251206
584,1,20251206
587,1,20251129
587,1,20251130
589,1,20251129
589,1,20251130
59,2,20251114
59,2,20251116
590,1,20251128
590,2,20251117
590,2,20251120
591,1,20251115
591,1,20251206
591,1,20251207
592,2,20251125
592,2,20251207
595,1,20251127
596,2,20251118
596,2,20251119
596,2,20251120
596,2,20251121
598,1,20251110
598,1,20251111
598,1,20251112
598,1,20251113
598,1,20251114
598,1,20251122
598,1,20251123
599,1,20251203
60,1,20251121
601,1,20251109
601,2,20251117
601,2,20251120
601,2,20251125
603,1,20251209
606,2,20251206
608,1,20251208
61,2,20251129
61,2,20251130
611,1,20251127
613,1,20251128
613,1,20251129
613,1,20251205
613,1,20251206
613,2,20251116
613,2,20251117
614,1,20251109
614,1,20251128
614,1,20251129
615,1,20251208
615,1,20251209
616,1,20251122
616,1,20251206
616,2,20251113
616,2,20251114
616,2,20251116
616,2,20251117
616,2,20251118
616,2,20251130
616,2,20251201
616,2,20251202
616,2,20251203
617,1,20251109
618,1,20251126
618,1,20251127
618,1,20251128
619,2,20251114
620,1,20251109
620,1,20251130
620,1,20251207
620,2,20251121
621,1,20251118
622,1,20251115
622,2,20251123
624,1,20251116
624,1,20251127
624,1,20251208
624,1,20251209
626,1,20251207
626,2,20251208
628,1,20251121
628,1,20251122
628,1,20251203
63,1,20251126
63,1,20251206
63,1,20251207
63,1,20251208
63,2,20251202
632,1,20251125
634,1,20251109
634,1,20251113
634,1,20251114
634,1,20251115
635,1,20251128
636,1,20251208
636,1,20251209
638,1,20251109
638,1,20251110
638,1,20251112
638,1,20251113
638,1,20251114
638,1,20251206
638,1,20251207
640,2,20251114
640,2,20251118
640,2,20251119
641,1,20251114
641,1,20251205
641,2,20251120
641,2,20251126
641,2,20251202
642,1,20251203
643,1,20251117
643,1,20251118
643,1,20251119
644,1,20251122
645,1,20251128
645,2,20251118
646,1,20251116
646,2,20251122
647,1,20251208
648,1,20251110
648,1,20251111
648,1,20251112
648,1,20251128
648,1,20251130
650,2,20251113
650,2,20251114
650,2,20251115
650,2,20251116
652,2,20251117
652,2,20251204
652,2,20251206
653,1,20251111
653,1,20251204
654,1,20251123
656,1,20251109
656,1,20251115
656,1,20251130
656,1,20251207
657,2,20251114
657,2,20251116
659,1,20251109
659,1,20251130
66,1,20251110
66,1,20251111
66,1,20251112
66,1,20251128
660,1,20251123
660,1,20251208
660,1,20251209
661,1,20251208
661,1,20251209
661,2,20251113
661,2,20251114
661,2,20251117
661,2,20251118
663,2,20251113
663,2,20251114
663,2,20251117
663,2,20251118
663,2,20251201
663,2,20251202
663,2,20251203
664,1,20251109
664,1,20251130
664,1,20251207
664,2,20251203
667,1,20251117
67,1,20251121
